year,imd,sex,<1      ,1-4,5-9,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     ,All Ages
2009,8,Male,28422,115151,139300,153581,163750,149103,151380,151276,180779,201499,194894,171258,161680,174769,129113,107138,82742,54306,29265,10749,2550155
2009,8,Female,27633,109110,132337,145257,154368,142775,148341,153665,185712,206504,199387,174322,168125,182400,137503,117458,99227,77830,54434,28867,2645255
2009,9,Male,28023,115664,144149,159958,169919,143308,136122,141038,179852,204699,199726,176121,163863,177029,130214,108544,84336,56437,29318,10776,2559096
2009,9,Female,26192,110030,136850,151422,159212,130011,132316,146397,188085,211093,205921,178449,170364,185548,139415,119276,99939,77721,54007,28005,2650253
2009,10,Male,25921,115582,153116,169614,166995,124249,109240,121641,170559,203950,205345,181398,166291,178789,129596,108212,86088,57257,29913,10706,2514462
2009,10,Female,24825,110379,145723,161312,158983,113478,107114,130774,184038,215622,214341,183376,172695,186977,138305,120143,99997,76527,51009,25990,2621608
2010,1,Male,46795,177842,185735,183585,189325,197845,208901,187671,179064,180611,168522,144950,125459,119191,89273,76254,56823,37876,19216,7168,2582106
2010,1,Female,44655,169537,178043,175612,183709,217957,223462,185330,176942,179771,169808,143815,121937,116938,92514,86576,73707,59016,39668,21506,2660503
2010,2,Male,43554,161835,170227,170965,184024,207203,223644,201316,188036,188838,174209,146910,124414,119790,89702,76414,58309,39838,21512,7964,2598704
2010,2,Female,41097,154913,163239,164123,178287,218553,235117,199870,188290,190164,177180,147715,124868,122656,96439,88066,76746,63167,44059,23630,2698179
2010,3,Male,39776,148089,153965,157878,177569,216397,233830,208755,192341,191310,179248,151836,131718,129167,97655,81801,63173,43267,23447,8923,2630145
2010,3,Female,38072,140791,146640,151133,172756,220683,234523,200988,187717,190378,179522,152476,133168,133131,104386,93806,81960,66769,47426,26258,2702583
2010,4,Male,36309,134091,142734,150832,171429,209786,215349,200154,191014,193956,184594,158988,140369,144690,111150,90915,70167,48404,25719,10011,2630661
2010,4,Female,34848,128883,136603,143917,165594,211147,214798,191953,186063,191014,184112,160425,143374,150043,117685,101367,87765,71608,50592,28206,2699997
2010,5,Male,33307,124366,138095,149393,163675,182947,191546,181765,181816,192129,189263,165148,148900,158812,123004,99907,77034,52533,28303,10925,2592868
2010,5,Female,31691,118759,132228,142224,156353,180234,190766,177618,181608,193380,191232,167659,154328,164238,129457,111241,94855,76454,54163,30579,2679067
2010,6,Male,31800,121984,137627,149605,159188,166780,176523,172560,182812,196333,195305,170693,155736,167800,130629,105873,81161,55790,29937,11737,2599873
2010,6,Female,30566,116681,131402,142006,152252,161033,176629,170572,183550,198946,197363,173881,160945,175087,138245,115754,98152,78860,55697,31525,2689146
2010,7,Male,29451,116803,136126,150755,163835,158969,158797,157217,175886,195905,197845,174706,159610,174728,134743,109003,84471,57097,30548,11575,2578070
2010,7,Female,28063,110987,130861,142291,153185,152860,156932,159653,179697,200979,202109,178400,165054,182097,143362,119392,100017,79440,55890,31928,2673197
2010,8,Male,29151,116710,139525,152885,162710,152907,150404,152029,175818,198316,199431,175466,160552,175905,135198,109318,84364,56419,30252,11883,2569243
2010,8,Female,27514,111251,132857,144835,152695,144649,148932,154547,181381,203520,204507,178276,166116,184119,143734,119418,99524,79407,54712,31060,2663054
2010,9,Male,28000,116945,143705,158611,169775,145237,135158,140535,173897,200352,203911,180053,162418,178125,137012,110229,85956,58700,30601,11731,2570951
2010,9,Female,26692,111024,136629,149775,159750,130928,132529,147065,182232,208366,210639,182294,168364,186935,146422,121246,100876,79921,54083,30021,2665791
2010,10,Male,26048,116210,152688,168622,167677,125463,108630,119737,164928,198928,209023,185059,164853,179385,136820,109691,88095,59962,31212,11592,2524623
2010,10,Female,24662,110742,145422,160192,159343,113960,107134,129738,178776,211243,219015,187286,170497,188709,145145,121618,101593,78825,51745,28046,2633691
2011,1,Male,47455,181375,190542,180908,190983,202328,210125,192219,176844,181008,171044,148812,126777,120890,90859,74733,56892,37826,19398,7486,2608504
2011,1,Female,45111,172192,182150,173777,184621,217701,224667,192081,172652,180623,172354,148336,124207,118360,93513,84525,72861,58134,38488,22495,2678848
2011,2,Male,43664,165874,175531,169034,183203,216833,228492,209308,185813,188803,177624,151691,126612,121200,92066,75545,58372,39979,21764,8394,2639802
2011,2,Female,41981,158196,167132,162865,177557,224130,237889,207721,185190,190409,180823,153541,127709,123764,98781,86628,75512,62911,42915,25040,2730694
2011,3,Male,40805,151143,159277,155470,176067,225944,239120,217936,190485,191246,182309,156660,133205,130995,101220,80923,63635,44192,23703,9438,2673773
2011,3,Female,38949,144835,151400,149055,170492,227294,238204,208729,184293,190190,183465,157854,134916,134735,107937,92267,81000,66583,46243,27677,2736118
2011,4,Male,37139,137735,146283,148612,168803,216908,219244,207367,187537,192807,188637,163561,142098,145711,116132,90799,70832,49209,26219,10696,2666329
2011,4,Female,35315,131941,140679,141600,163881,215455,217492,199415,181252,190820,187991,165474,144852,151140,122422,101079,87051,72243,49689,29942,2729733
2011,5,Male,33202,127036,140959,146817,162039,189552,194661,187382,177184,190517,191381,170198,149937,159644,128779,99697,78391,53871,28941,11769,2621957
2011,5,Female,31911,121418,134989,139973,154484,184775,192231,182506,176067,193012,194170,172698,155425,164918,135750,110188,94851,77202,53104,32564,2702236
2011,6,Male,32584,124546,139922,147674,158284,169896,178257,177126,177637,194506,197589,175620,156630,168179,137282,105747,82811,57452,30504,12795,2625041
2011,6,Female,30780,118994,133898,140361,151071,162848,177460,176026,176657,197842,201165,178549,162059,175655,145445,115379,98857,80175,55059,33924,2712204
2011,7,Male,29723,117245,138284,148370,162156,162726,159444,160400,168692,193652,200111,179309,160316,174327,142407,108378,86273,59006,31478,12625,2594922
2011,7,Female,28035,111985,132013,140564,151870,154059,156928,162863,172706,199100,204664,183507,165497,182455,150883,119190,100801,80756,54814,34156,2686846
2011,8,Male,29121,117867,141174,150876,162007,156444,151833,154046,169002,195841,201604,180509,160805,175373,143270,109060,86000,59306,31161,12856,2588155
2011,8,Female,28093,112574,134433,143194,151431,146205,148769,157834,174227,202078,207588,183291,166021,184156,151767,119364,101045,80822,54369,33548,2680809
2011,9,Male,28048,117187,145298,155991,169388,148174,135444,141607,165842,197575,205819,184062,162941,177376,145180,109800,87964,60710,32161,12916,2583483
2011,9,Female,26677,111088,137853,147372,159365,132629,131682,148018,173966,206466,213036,187799,168065,186954,154652,121275,101999,81674,54040,32662,2677272
2011,10,Male,26151,115818,153229,166514,168131,126743,109304,117891,156621,195963,209982,188566,165463,178303,145418,108896,89957,62641,32777,12828,2531196
2011,10,Female,24358,110595,145089,158384,158437,115617,105981,128675,169705,209025,220720,192542,169966,188156,153857,121078,103227,81155,52077,30603,2639247
2012,1,Male,48764,184375,197300,178251,188636,205289,210124,197068,174081,179611,173062,153321,129439,117615,97319,73913,57265,38086,19516,8006,2631041
2012,1,Female,46944,175281,188546,170557,181792,216142,225910,199587,169143,179697,173932,153056,127513,115306,99411,83267,72387,57771,37633,23253,2697128
2012,2,Male,45639,169236,182504,166371,181700,217980,229696,215200,183600,187952,180159,157096,129878,117665,98992,75373,58993,40390,21753,9142,2669319
2012,2,Female,43579,161496,173316,160168,175905,224192,239087,214916,182036,189832,183672,159206,131389,119943,105634,85976,74971,62323,41922,25932,2755495
2012,3,Male,42531,155032,165553,153403,174330,226498,239798,224800,187692,190176,184553,162142,136098,126390,110109,80741,64662,44841,24064,10200,2703613
2012,3,Female,40118,148275,157660,146358,168191,228378,239368,216539,180853,189252,185792,162967,138197,130362,116218,91904,80960,66747,45375,28874,2762388
2012,4,Male,38464,141466,152143,145728,168052,219037,219149,212241,184193,192140,190138,168807,144693,139546,126258,91649,72050,50083,26775,11528,2694140
2012,4,Female,36698,135346,146240,138982,161132,217720,217573,205613,177339,189892,189542,170560,147977,145108,132245,102056,87412,72446,48915,31381,2754177
2012,5,Male,34279,129854,145835,143140,161302,191806,194172,191283,172844,188637,193087,175279,152474,151945,140685,100796,79892,55344,29680,12584,2644918
2012,5,Female,32818,124539,139112,137095,153007,185406,192297,187427,170796,191733,195751,177908,157750,157629,147981,111435,95465,77815,52311,33750,2722025
2012,6,Male,32621,127451,144457,144681,157422,171367,178138,179998,172062,191987,199198,180706,159045,159541,149848,107317,84938,59189,31240,13895,2645101
2012,6,Female,31218,121465,138355,137513,148737,162701,177330,180682,171847,195574,203018,183741,164439,167359,158868,117108,100060,81115,54935,35506,2731571
2012,7,Male,30325,119264,141877,144914,160594,164212,159120,162682,162749,190474,201260,183880,163119,164390,156375,110097,88326,61008,32310,13647,2610623
2012,7,Female,28715,113878,135178,137715,149414,155422,156584,165877,166807,195984,206371,188123,167767,173091,165166,121089,102767,82160,54542,35786,2702436
2012,8,Male,30086,119283,144563,148105,160025,158157,151019,155299,162366,192859,202611,185308,162749,165287,157702,110906,88394,61208,32331,14072,2602330
2012,8,Female,28081,114298,137826,139688,149652,146983,149339,160001,167773,199621,209107,188857,167498,174128,167171,121588,102937,82202,54208,35307,2696265
2012,9,Male,28313,117913,148347,152463,167955,150808,135464,142372,158069,194485,206023,189303,164919,166463,160484,111246,90593,62990,33487,14072,2595769
2012,9,Female,26927,111629,141004,144363,156771,134397,131246,149339,166939,203882,213927,192724,169890,176676,170503,123072,104358,83380,54524,34507,2690058
2012,10,Male,25757,116263,155911,162781,165604,128241,108909,117073,149557,193047,209307,192591,167441,167338,160836,110512,91913,65120,34291,14102,2536594
2012,10,Female,24564,110571,147855,155595,156085,116815,105254,129220,162607,205881,221098,197946,171394,177112,170252,122388,105747,83204,52613,32537,2648738
2013,1,Male,47434,186732,205061,178119,185404,203610,210847,201945,173188,177876,174480,157159,132690,116362,101347,73585,58058,38224,19554,8286,2649961
2013,1,Female,45198,178990,195705,170632,178035,212825,227995,206757,167957,178105,174850,157228,131117,114523,102538,82682,72739,56619,36845,23172,2714512
2013,2,Male,44546,172888,189943,165770,179032,217976,231015,221513,184023,186325,182190,161635,133689,116620,103301,75773,60070,40819,21496,9359,2697983
2013,2,Female,42361,164855,181355,159081,172593,222554,241483,222500,181171,188041,186028,164957,135381,119108,109329,86333,75415,61490,41083,25890,2781008
2013,3,Male,41691,158595,172797,152497,171867,224981,241237,231521,187788,189099,186477,167062,139337,125175,115214,81808,66048,44920,24271,10796,2733181
2013,3,Female,39152,151050,164553,145591,164953,225953,240422,223994,179992,187564,187246,168409,142348,128649,121288,92872,81831,66171,44828,29163,2786029
2013,4,Male,37278,144564,158802,144110,164762,217678,220809,216776,183052,190488,190841,173606,148082,137207,131488,93828,74002,51006,27216,12020,2717615
2013,4,Female,35534,137883,152279,137497,158902,215169,218731,210478,176015,187653,190598,175326,151436,142065,138565,103886,88694,72126,48516,31755,2773108
2013,5,Male,33944,132521,150937,140964,160640,191446,195662,195420,170273,186820,192387,180055,155501,148206,147118,103785,82206,56230,30295,13339,2667749
2013,5,Female,32146,126765,144361,135100,152148,184191,192658,192159,168106,188089,196302,182789,160471,154872,154522,114125,97216,78048,51905,34399,2740372
2013,6,Male,32324,129468,149492,142347,156686,170866,179954,182958,168959,189674,198961,185490,162137,155252,156642,110857,88078,60367,32366,14459,2667337
2013,6,Female,30386,122716,143030,135330,147896,161547,177432,183732,168080,192348,203686,188965,166995,162603,166419,121059,101942,81833,54550,36629,2747178
2013,7,Male,29213,120629,146086,142504,160071,164937,160373,164830,158762,187642,200176,188718,164983,159580,163721,113864,91162,62443,33422,14247,2627363
2013,7,Female,27708,115089,138706,135788,149090,153894,157198,168248,163021,192577,206152,192518,170395,168188,172977,125105,105008,82908,54677,36435,2715682
2013,8,Male,28904,121036,148798,145946,158788,158608,153021,157229,158210,189077,202361,189529,165329,160119,164582,114909,91154,62920,33340,14953,2618813
2013,8,Female,27305,115648,141480,137697,148785,146756,150246,162471,163415,195682,209029,194072,170338,168280,174925,126031,105464,83164,54442,36417,2711647
2013,9,Male,27111,118844,151360,150959,167085,150859,137505,143150,152654,191126,204941,193007,168069,160799,167822,115703,93574,64860,34391,14742,2608561
2013,9,Female,25890,112718,143897,142405,155808,134731,132299,150566,162261,200303,213023,198000,172572,170470,179074,127757,107535,84257,55210,35634,2704410
2013,10,Male,24846,116252,158708,160509,166329,128401,110201,116415,144526,189465,206885,196568,169766,160684,168445,114811,94577,67344,35559,15115,2545406
2013,10,Female,23560,110356,150569,153547,155878,116756,106244,129363,157721,201939,219161,202420,173588,171009,178482,127001,108701,84516,53488,33603,2657902
2014,1,Male,46544,189018,211767,179177,184108,203996,212708,205387,175331,175079,175498,161646,136144,117130,103799,74257,58631,38292,19858,8713,2677083
2014,1,Female,44406,180711,202181,172065,177141,210825,229214,211607,171248,174451,176499,162061,134754,115124,105258,82309,72828,56054,36599,23641,2738976
2014,2,Male,43369,175264,197011,166407,178062,216428,232443,225241,187808,183489,183800,166234,138010,117484,106012,76878,61313,41068,21996,9949,2728266
2014,2,Female,41220,167111,188107,159975,170449,219451,243029,226549,185047,184655,187340,170100,139758,119924,112003,86902,76220,60789,40874,26783,2806286
2014,3,Male,40710,161493,178677,153112,171023,226470,243535,235060,192752,186707,187078,172555,143922,125321,118105,84113,67391,45385,24875,11459,2769743
2014,3,Female,38639,153034,170541,145599,164050,225910,241617,226953,183780,183940,188596,173744,146401,128493,124536,94819,82902,65489,44957,29969,2813969
2014,4,Male,36525,146675,164515,144526,163784,218092,223201,219624,186363,187683,191097,178721,151945,136801,134346,97185,75982,51848,28165,12690,2749768
2014,4,Female,34650,139950,157302,137879,159170,214399,220227,212760,178616,183603,191552,180320,155233,141856,141899,106791,90338,71806,48722,32848,2799921
2014,5,Male,32588,134574,155059,140882,158305,192342,198788,196697,172602,182598,191603,184860,159526,146378,149978,108276,84427,57530,31290,14056,2692359
2014,5,Female,31517,128542,148441,134522,150653,183334,194025,192922,170138,183122,196235,187763,164057,154274,157516,118146,99178,78452,52347,35392,2760576
2014,6,Male,31612,130636,153756,141031,155719,171655,181248,183438,169864,185280,198002,190716,166014,152808,159856,116174,90715,61543,33715,15425,2689207
2014,6,Female,30024,123997,146325,135028,145933,161087,178529,184070,168612,188170,202782,194435,170662,161042,169484,126367,104532,81984,55606,37948,2766617
2014,7,Male,29003,122362,149201,141730,158707,166629,162266,164894,158785,183003,198892,193263,168432,157094,166541,119361,94169,64033,34749,15224,2648338
2014,7,Female,27351,116363,142171,135101,147427,154419,158935,168449,162830,187745,204634,198393,173390,166025,176008,131321,107786,83506,55362,37917,2735133
2014,8,Male,28525,122004,151438,145042,158351,159963,154922,156853,157570,184222,201167,194228,168375,157254,167646,120673,94262,64652,35015,15828,2637990
2014,8,Female,26942,116193,144317,137305,147763,146772,151268,161749,162946,190907,208007,199501,173409,166080,178064,132041,108381,84331,55875,37935,2729786
2014,9,Male,26943,119140,153881,149870,165486,151694,139881,141887,151325,185563,203482,197417,170995,158148,169866,122427,96438,66875,35911,15873,2623102
2014,9,Female,25783,113162,145854,141462,154996,135008,133175,149696,161367,194942,211590,203219,175986,167520,182293,134679,110586,85451,56340,37242,2720351
2014,10,Male,24501,116254,159844,159720,165220,130091,112207,115230,142373,184806,204600,200202,172782,157670,170441,121237,97035,69354,37425,16348,2557340
2014,10,Female,23331,110291,151977,152622,154607,117852,107164,128143,156647,197439,215909,207910,176786,167505,181810,133456,111844,85919,55430,35165,2671807
2015,1,Male,46598,190337,218237,183009,185277,202770,215853,209291,180683,173112,176188,165459,140900,117915,106529,74898,58526,38362,20354,8970,2713268
2015,1,Female,44117,181901,207858,175786,176976,208999,231895,215109,178730,171478,177090,166641,139657,116222,107653,82148,72566,55135,36135,23463,2769559
2015,2,Male,43262,175892,203653,170105,178366,216899,235588,229557,194626,181978,184870,171152,143430,118719,108938,77675,61727,41234,22271,10165,2770107
2015,2,Female,40794,167493,193633,162951,170302,218710,245769,230776,191300,181945,187837,175573,145533,121070,114637,87667,76166,59900,40783,26424,2839263
2015,3,Male,40514,162797,184715,155568,170174,226405,246620,238604,199162,184678,187471,176710,149117,126013,120574,86689,67801,46162,25349,11652,2806775
2015,3,Female,38020,154239,176279,147960,163136,225768,243851,229396,190966,181112,188574,178573,151727,129450,127378,96866,82886,65033,44842,29748,2845804
2015,4,Male,36387,147181,169354,145786,164546,216866,226008,221397,192028,184767,190132,183946,156546,136793,137193,100470,76923,52497,28981,13068,2780869
2015,4,Female,34535,140208,161926,139301,158476,213243,220722,213600,183484,180714,190578,185513,160347,141674,144848,110231,91150,71457,48922,32740,2823669
2015,5,Male,33075,134441,159420,141742,157011,192620,201029,198270,177025,178961,190302,188875,164273,145861,152244,112579,85679,58183,32289,14404,2718283
2015,5,Female,31667,128814,152853,135951,149725,183064,194930,194069,174097,179602,194426,192668,168802,153792,160151,122515,100132,78385,52827,35175,2783645
2015,6,Male,31584,131217,158157,141671,153886,171003,184378,183955,173001,181644,195751,196022,170250,152805,161401,120725,92541,63037,34819,15893,2713740
2015,6,Female,30065,124388,150431,135768,144759,160461,179510,184237,171718,184220,200896,199891,174970,160639,171589,131334,105748,82370,56007,37798,2786799
2015,7,Male,29189,122423,152071,141752,156571,166359,164747,165507,161340,178773,196499,198097,172596,155915,168049,125195,95537,65615,35731,15804,2667770
2015,7,Female,27774,116069,145435,135386,145879,153456,160140,167912,165494,182560,202695,203292,178481,164559,178221,136644,109264,84125,56046,37961,2751393
2015,8,Male,28253,121843,154861,145997,156491,159028,157050,156766,159113,180311,198860,198086,173060,155705,168732,126550,96005,66366,36243,16394,2655714
2015,8,Female,27427,116358,147648,137744,145882,144910,151978,161419,165005,186613,205050,204777,177109,164402,180484,138303,109910,84525,57393,38114,2745051
2015,9,Male,26940,118927,156606,150027,163827,151459,142015,140713,152135,180688,200722,201501,175110,156780,170552,128654,98082,68936,37323,16673,2637670
2015,9,Female,25407,113000,148625,141826,153670,134659,134325,147963,162736,190279,208600,208312,179850,165414,183867,141429,112449,86432,57844,37438,2734125
2015,10,Male,24427,115101,161831,159580,164365,129059,114092,113823,141529,180228,201012,203530,176379,156176,170572,127803,98069,71189,39003,17322,2565090
2015,10,Female,22942,109074,153870,152385,153970,116519,107468,125664,156746,192791,211807,212382,180185,164817,183523,140245,113067,87357,57159,35762,2677733
