year,imd,sex,<1      ,1-4,5-9,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     ,All Ages
2002,9,Female,24261,105715,143703,154342,144243,118566,133581,179319,206066,193055,174817,184765,178773,132209,119309,108929,93430,71496,42854,25893,2535326
2002,10,Male,25226,114896,160837,171809,156518,117074,113666,155289,196026,197735,179876,186478,180239,127713,113153,95077,71142,43708,19622,8175,2434259
2002,10,Female,23720,109731,152059,162427,147015,105351,112900,166093,209111,204077,184084,192585,182824,132271,119980,107261,89333,66306,38551,23160,2528839
2003,1,Male,39971,151342,193377,193906,188759,179411,171695,191083,185468,164592,141219,131844,123899,103240,95144,78898,60499,40224,14733,5918,2455222
2003,1,Female,38590,145381,184348,186294,186698,202482,178155,195883,189718,168448,142356,128636,122088,105859,102317,95929,86749,72276,35810,22085,2590102
2003,2,Male,36061,135463,176813,179899,175717,178824,182484,201934,198761,170524,141855,130514,123269,100511,90769,77081,60606,42311,15594,6458,2425448
2003,2,Female,33877,130210,168745,173392,171438,193345,187109,203065,198499,174309,144063,130195,125697,106029,99887,96534,88071,74069,37640,23086,2559260
2003,3,Male,32130,120902,159969,166740,166840,182799,186597,204758,201512,175190,146330,136964,132094,103760,94137,80184,63175,43656,16870,7118,2421725
2003,3,Female,30185,116309,152351,160709,161570,189416,186061,201633,196972,174741,147064,137709,134905,109360,103543,99160,89852,75718,39885,24618,2531761
2003,4,Male,28988,112343,150121,160906,160486,178539,180921,202847,201450,178038,152392,146174,145791,113787,101128,86235,66821,45773,18641,7809,2439190
2003,4,Female,27699,107651,143132,152512,154863,181940,176542,198235,197295,177465,153952,147598,148695,118487,109018,103755,93427,78588,42003,26816,2539673
2003,5,Male,27484,108003,146860,157247,154583,160542,165705,190959,198471,182485,157990,154103,159160,122086,108664,91651,71296,48502,19805,8630,2434226
2003,5,Female,25841,102738,139197,150231,147102,158278,162170,189680,196361,182040,161531,157484,163106,127586,117058,108860,96402,82046,44361,27646,2539718
2003,6,Male,27052,106835,145389,154849,151112,149927,158483,187335,199577,185491,164349,160229,168358,127766,112863,95646,73455,49424,20769,8953,2447862
2003,6,Female,25422,101693,139171,148420,142426,143103,155663,186555,199150,185457,166127,164780,173173,132877,119868,110991,97185,81184,44702,28828,2546775
2003,7,Male,25862,106221,145716,156450,154734,143973,146576,179340,198642,187779,168122,167317,176188,131434,115221,97352,73977,49771,20605,9045,2454325
2003,7,Female,24901,101022,138270,148236,144908,137906,144023,181449,200405,189863,171253,172377,179917,136929,122000,111191,95608,81053,44395,28573,2554279
2003,8,Male,25982,107066,145908,156621,152946,138539,141348,176013,197523,189137,168617,168371,178422,131581,114058,95689,72077,48217,19953,8807,2436875
2003,8,Female,24730,101140,138667,149597,143892,130698,138733,179415,200861,190995,171939,173503,183438,135876,121693,109333,93392,76944,42415,27465,2534726
2003,9,Male,26490,110268,152805,163729,160850,131911,132056,170873,200424,195083,174601,172237,182529,131603,114945,96596,72799,47840,19057,8761,2465457
2003,9,Female,24824,104692,144898,155172,147798,119849,130279,176906,205098,197880,178167,177346,187184,136694,122280,109901,93092,75886,40711,26352,2555009
2003,10,Male,25805,113717,161225,172360,158382,117347,110175,152060,194326,201298,183346,178042,188122,131843,114956,96591,72653,47359,19115,8653,2447375
2003,10,Female,24004,108316,153839,163228,150568,106513,109593,162628,206838,208404,186169,184775,191633,136729,122918,108407,89937,71015,37001,23994,2546509
2004,1,Male,41721,152828,191346,192203,188842,188618,173863,187086,185251,167985,144589,131056,126722,102077,95124,77351,59191,40207,14887,6210,2467157
2004,1,Female,39853,146050,182812,183623,188110,208458,180621,189384,189956,172700,144971,128332,124472,104054,102132,93403,83854,71451,34732,22100,2591068
2004,2,Male,36653,135979,174814,178428,176363,186555,183090,197385,198208,174738,145984,129815,126311,100000,91242,75919,59930,42182,15905,6726,2436227
2004,2,Female,35286,129812,166744,171240,174056,197749,189877,197063,198725,178781,147650,129846,128162,105595,100044,93876,85778,73882,37031,23480,2564677
